Time (s),Voltage (V),Current (mA)
0.0165,0.4991,2.241121
0.1676,0.5108,2.292523
0.2209,0.5156,2.341121
0.3235,0.5297,2.380841
0.4259,0.5376,2.432243
0.5278,0.548,2.480841
0.6271,0.559,2.526636
0.7298,0.5706,2.57243
0.8313,0.5792,2.614953
0.9348,0.5877,2.663551
1.0377,0.5981,2.714953
1.1385,0.6091,2.766355
1.241,0.6201,2.81215
1.3431,0.6299,2.866355
1.4454,0.6409,2.906075
1.5477,0.6519,2.949065
1.6498,0.661,2.989252
1.7489,0.6696,3.037383
1.8514,0.6812,3.088785
1.9535,0.6904,3.137383
2.0562,0.6995,3.180374
2.1585,0.7093,3.228972
2.2611,0.7209,3.271495
2.3632,0.7295,3.328972
2.4655,0.7405,3.368692
2.5678,0.7515,3.408879
2.6696,0.7612,3.468692
2.7723,0.7728,3.494393
2.8709,0.782,3.545794
2.9737,0.79,3.6
3.0763,0.7985,3.636916
3.1783,0.8107,3.697196
3.2809,0.8229,3.731308
3.383,0.8346,3.794393
3.4851,0.8425,3.831308
3.5879,0.8529,3.877103
3.6901,0.862,3.916822
3.7921,0.8743,3.971028
3.8946,0.8834,4.008411
3.9969,0.895,4.065421
4.0959,0.9042,4.119626
4.1983,0.9128,4.168224
4.3008,0.925,4.216822
4.4033,0.9348,4.271028
4.5055,0.9451,4.310748
4.608,0.9555,4.359346
4.7104,0.9653,4.402336
4.8126,0.9751,4.430841
4.9148,0.9861,4.48785
5.0166,0.9946,4.528037
5.0664,0.9952,4.528037
5.169,0.9842,4.48785
5.2714,0.9726,4.428037
5.3699,0.9635,4.402336
5.4724,0.9549,4.348131
5.5744,0.9457,4.316822
5.6732,0.9341,4.259346
5.7754,0.9244,4.22243
5.8775,0.9146,4.171028
5.9759,0.9054,4.130841
6.0784,0.892,4.071028
6.1802,0.8834,4.028037
6.2794,0.8724,3.977103
6.3815,0.8608,3.942523
6.4835,0.8529,3.893925
6.5821,0.8456,3.83972
6.684,0.8358,3.794393
6.7866,0.8254,3.751402
6.8851,0.8132,3.691589
6.9875,0.8046,3.645794
7.0897,0.7961,3.620093
7.1882,0.7845,3.548598
7.2906,0.7722,3.514486
7.3927,0.7631,3.465888
7.4918,0.7527,3.431776
7.5932,0.7429,3.380374
7.696,0.7337,3.340187
7.7944,0.7258,3.294393
7.8976,0.7124,3.249065
7.9986,0.7026,3.188785
8.0973,0.6928,3.154673
8.1996,0.6849,3.123364
8.3019,0.6739,3.057477
8.4003,0.6647,3.017757
8.5026,0.6568,2.969159
8.6052,0.6421,2.926168
8.7037,0.6342,2.880374
8.806,0.6262,2.828972
8.9081,0.6164,2.789252
9.0068,0.6054,2.726636
9.1093,0.5938,2.697664
9.2111,0.5828,2.63785
9.3102,0.5749,2.606542
9.4124,0.5627,2.540654
9.5143,0.5499,2.498131
9.6133,0.5413,2.457944
9.7154,0.5315,2.398131
9.8174,0.5205,2.364019
9.9161,0.5126,2.315421
10.0183,0.501,2.278037
10.1204,0.4894,2.204206
10.2194,0.4833,2.175234
10.3215,0.4717,2.129907
10.4232,0.4625,2.086916
10.5223,0.4515,2.038318
10.6246,0.4448,1.992523
10.7265,0.4326,1.944393
10.8256,0.4222,1.895794
10.9277,0.4093,1.847196
11.0295,0.4014,1.801402
11.1285,0.391,1.758411
11.2303,0.3812,1.71028
11.329,0.3708,1.672897
11.4315,0.3611,1.624299
11.534,0.3513,1.581776
11.6358,0.3421,1.530374
11.7348,0.3287,1.481776
11.8367,0.3232,1.450467
11.9389,0.3098,1.390187
12.0376,0.3018,1.353271
12.1397,0.2896,1.304673
