Time (s),Voltage (V),Current (mA)
0.016,-0.9922,-4.576636
0.1826,-0.9903,-4.567757
0.2572,-0.9903,-4.567757
0.3758,-0.9916,-4.56215
0.4943,-0.9922,-4.570561
0.6132,-0.9903,-4.570561
0.7365,-0.9916,-4.564953
0.855,-0.9885,-4.559346
0.9743,-0.9897,-4.56215
1.096,-0.9928,-4.570561
1.215,-0.9916,-4.564953
1.334,-0.991,-4.570561
1.4562,-0.991,-4.567757
1.5753,-0.9916,-4.564953
1.6951,-0.9903,-4.567757
1.8134,-0.991,-4.570561
1.9363,-0.991,-4.559346
2.0554,-0.9922,-4.564953
2.1746,-0.9897,-4.579439
2.2964,-0.9916,-4.556542
2.4152,-0.991,-4.567757
2.5341,-0.9903,-4.564953
2.657,-0.9903,-4.570561
2.7763,-0.991,-4.564953
2.8953,-0.9916,-4.567757
3.0173,-0.9897,-4.559346
3.1364,-0.9916,-4.570561
3.2553,-0.9916,-4.564953
3.3743,-0.991,-4.570561
3.4967,-0.9916,-4.56215
3.6158,-0.9916,-4.556542
3.7349,-0.9903,-4.570561
3.8567,-0.991,-4.559346
3.9762,-0.9916,-4.550935
4.0955,-0.991,-4.564953
4.2133,-0.9916,-4.556542
4.3358,-0.9922,-4.570561
4.4555,-0.9897,-4.556542
4.5738,-0.9897,-4.56215
4.6962,-0.9897,-4.564953
4.8154,-0.9916,-4.564953
4.9343,-0.9922,-4.559346
5.053,-0.9922,-4.564953
5.1755,-0.9916,-4.579439
5.2946,-0.9903,-4.570561
5.4154,-0.9922,-4.570561
5.536,-0.9916,-4.567757
5.6559,-0.9916,-4.567757
5.7747,-0.991,-4.56215
5.8969,-0.9885,-4.576636
6.0156,-0.9916,-4.564953
6.1351,-0.991,-4.567757
6.257,-0.9922,-4.556542
6.3763,-0.9928,-4.570561
6.4954,-0.9922,-4.567757
6.6144,-0.991,-4.564953
6.7363,-0.9916,-4.567757
6.8559,-0.9903,-4.56215
6.9749,-0.9903,-4.56215
7.0973,-0.9891,-4.567757
7.2159,-0.9922,-4.559346
7.3351,-0.9891,-4.564953
7.4539,-0.991,-4.56215
7.5763,-0.9903,-4.556542
7.695,-0.9897,-4.567757
7.8146,-0.9916,-4.573364
7.9366,-0.9903,-4.573364
8.056,-0.9928,-4.556542
8.1746,-0.9897,-4.567757
8.2969,-0.9891,-4.56215
8.4161,-0.9897,-4.564953
8.5353,-0.9922,-4.570561
8.6534,-0.9903,-4.582243
8.7767,-0.9928,-4.570561
8.8955,-0.9922,-4.56215
9.0149,-0.9903,-4.567757
9.1367,-0.9903,-4.579439
9.2559,-0.9903,-4.56215
9.3749,-0.9879,-4.579439
9.4969,-0.9903,-4.570561
9.6162,-0.9903,-4.567757
9.7356,-0.9922,-4.564953
9.854,-0.9916,-4.559346
9.9761,-0.9897,-4.567757
10.0958,-0.9903,-4.567757
10.2183,-0.9922,-4.56215
10.3368,-0.9891,-4.559346
10.4555,-0.9897,-4.570561
10.5752,-0.9934,-4.556542
10.6939,-0.9922,-4.567757
10.8164,-0.9897,-4.567757
10.9354,-0.9916,-4.579439
11.0542,-0.991,-4.559346
11.1764,-0.9934,-4.559346
11.296,-0.9928,-4.570561
11.4148,-0.9897,-4.556542
11.5368,-0.9916,-4.573364
11.656,-0.9879,-4.564953
11.7753,-0.9903,-4.564953
11.894,-0.9922,-4.564953
12.016,-0.9891,-4.56215
12.1353,-0.9922,-4.567757
12.2544,-0.9922,-4.567757
12.3764,-0.991,-4.570561
12.4958,-0.9897,-4.553738
12.6143,-0.991,-4.567757
12.737,-0.9916,-4.564953
12.856,-0.9897,-4.576636
12.975,-0.9903,-4.567757
13.0939,-0.9916,-4.570561
13.2166,-0.9897,-4.564953
13.3357,-0.9928,-4.564953
13.4544,-0.991,-4.56215
13.5768,-0.9897,-4.559346
13.6959,-0.9903,-4.564953
13.8149,-0.9922,-4.556542
13.9364,-0.9928,-4.576636
14.0561,-0.9903,-4.56215
14.1749,-0.9885,-4.56215
14.2942,-0.9897,-4.570561
14.4163,-0.9916,-4.559346
14.5354,-0.9897,-4.570561
14.6538,-0.9928,-4.570561
14.7768,-0.9903,-4.564953
14.8958,-0.9928,-4.573364
15.0148,-0.9916,-4.567757
15.137,-0.9897,-4.564953
15.2563,-0.9897,-4.573364
15.3754,-0.991,-4.573364
15.494,-0.9916,-4.564953
15.6167,-0.991,-4.559346
15.7357,-0.9897,-4.559346
15.8546,-0.9916,-4.582243
15.9764,-0.9916,-4.570561
16.0961,-0.9903,-4.564953
16.2148,-0.9873,-4.559346
16.3371,-0.991,-4.564953
16.4561,-0.9903,-4.567757
16.5755,-0.9903,-4.576636
