Time (s),Voltage (V),Current (mA)
0.1063,1.003082,4.389336
0.2976,1.000762,4.409716
0.7382,1.007805,4.341233
0.8541,1.005707,4.362874
1.2317,1.003141,4.380296
1.5972,1.004113,4.382761
2.0099,1.0045,4.381501
2.3736,1.003633,4.383364
2.6692,1.00893,4.344904
2.9769,1.004137,4.378707
3.2862,1.008086,4.336631
3.5951,1.002438,4.397499
3.913,1.000691,4.409497
4.2379,1.003762,4.390212
4.5391,1.001781,4.406922
4.8304,1.001371,4.402101
5.1495,1.002719,4.391911
5.4525,1.003012,4.389062
5.7824,1.001992,4.396951
6.0924,1.00607,4.372352
6.4079,1.004559,4.382323
6.7192,1.001887,4.401991
7.0335,1.00327,4.408401
7.3644,1.003563,4.380625
7.7103,1.000645,4.41125
8.0377,1.009773,4.320141
8.3634,1.001477,4.405552
8.6617,1.001758,4.401772
8.9605,1.001652,4.406429
9.2584,1.002063,4.399635
9.5533,1.002297,4.39843
9.856,1.002098,4.404785
10.1562,1.002895,4.401882
10.4542,1.002203,4.400512
10.7541,1.00109,4.40999
11.0541,1.003621,4.38939
11.3548,1.002238,4.396567
11.6501,1.001348,4.401553
11.9596,1.003516,4.39854
12.2637,1.000738,4.414263
12.5847,1.000082,4.428453
12.9009,1.001078,4.401717
13.2007,1.002168,4.403525
13.5192,1.004547,4.395417
13.8349,1.005367,4.387637
14.1563,1.001137,4.414209
14.479,1.001887,4.399526
14.7949,1.002145,4.390924
15.116,1.000691,4.412072
15.4316,1.002121,4.408292
15.7533,1.002098,4.402594
16.072,1.000621,4.406319
16.3905,1.002895,4.400676
16.7368,1.002133,4.409168
17.0626,1.00334,4.39454
17.3821,1.001172,4.414483
17.7124,1.001793,4.410374
18.0599,1.001828,4.409442
18.3728,1.001664,4.406429
18.6854,1.001348,4.401991
18.9983,1.000609,4.41514
19.3106,1.000727,4.402649
19.6305,1.004148,4.371366
19.9506,1.001195,4.406155
20.2722,1.001523,4.407141
20.5888,1.003879,4.39602
20.8856,1.001348,4.405717
21.1801,1.001934,4.409387
21.4756,1.003422,4.377611
21.7688,1.002297,4.397773
22.0647,1.001723,4.407415
22.3607,1.001477,4.414702
22.6567,1.001383,4.398868
22.9487,1.001699,4.404895
23.2442,1.000797,4.402101
23.542,1.001758,4.405114
23.8469,1.000832,4.402156
24.15,1.002789,4.404621
24.4522,1.004852,4.376735
24.7551,1.003879,4.380899
25.0546,1.003902,4.383583
25.3556,1.003879,4.38309
25.6533,1.003445,4.38435
25.9496,1.004148,4.38183
26.25,1.004816,4.380077
26.5489,1.002074,4.40873
26.8462,1.000844,4.412729
27.1484,1.001266,4.415688
27.4459,1.001828,4.404731
27.7475,1.001172,4.408073
28.0683,1.002273,4.398375
28.3698,1.000996,4.405498
28.6687,1.001688,4.401717
28.9718,1.001641,4.402758
29.2813,1.001277,4.409333
29.5863,1.00109,4.412784
29.8909,1.001816,4.407525
30.1972,1.001594,4.405388
30.5029,1.001711,4.407251
30.8077,1.001582,4.405388
31.1129,1.00102,4.413551
31.4168,1.001992,4.404511
31.7299,1.00218,4.404511
32.0334,1.001242,4.406155
32.3456,1.003727,4.379912
32.6531,1.003551,4.386487
32.9628,1.003527,4.380132
33.2939,1.003949,4.382761
33.6003,1.003668,4.382104
33.9138,1.004594,4.381063
34.2238,1.001371,4.406977
34.537,1.001828,4.412236
34.8483,1.001617,4.409661
35.1611,1.001547,4.410647
35.4792,1.002238,4.39465
35.7884,1.002684,4.407634
36.1016,1.000984,4.414866
36.4142,1.002191,4.407689
36.7266,1.001945,4.403087
37.0368,1.001934,4.408785
37.3495,1.001922,4.407525
37.6598,1.001816,4.406429
38.1042,1.001465,4.40862
38.4203,1.0015,4.408456
38.7353,1.001242,4.406155
39.0537,1.002098,4.410264
39.369,1.000938,4.407744
39.6861,1.001488,4.410867
40.0022,1.001699,4.406703
40.3192,1.004641,4.374598
40.6533,1.002098,4.404238
40.9711,1.003527,4.397499
41.291,1.002297,4.40988
41.5929,1.002941,4.397225
41.8837,1.001594,4.40999
42.183,1.001219,4.402101
42.476,1.002074,4.406758
42.7721,1.001512,4.399252
43.069,1.00143,4.411086
43.3844,1.005297,4.373612
43.6875,1.001582,4.410374
43.9838,1.002344,4.398814
44.287,1.002156,4.407306
44.5808,1.000844,4.413442
44.8744,1.001125,4.412565
45.169,1.001723,4.404731
45.4656,1.001629,4.409826
45.76,1.001617,4.409168
46.0518,1.001535,4.410702
46.3461,1.001664,4.397554
