Time (s),Voltage (V),Current (mA)
0.0913,1.006225,4.362085
0.3768,1.007181,4.35069
0.8211,1.019331,4.227355
0.9831,1.01725,4.263558
1.331,1.008625,4.344554
1.6788,1.010463,4.305546
2.0982,1.008681,4.339732
2.4124,1.010725,4.312909
2.6892,1.008288,4.344028
2.9709,1.006281,4.355423
3.2525,1.008587,4.350164
3.5314,1.008981,4.327986
3.8199,1.009075,4.337716
4.1082,1.0063,4.357965
4.4054,1.0075,4.351478
4.6763,1.015731,4.26049
4.9469,1.009094,4.3286
5.22,1.007106,4.352969
5.4997,1.008325,4.321324
5.8016,1.007538,4.331755
6.0772,1.006619,4.331317
6.3636,1.006431,4.355248
6.663,1.007294,4.348147
6.9629,1.00705,4.353845
7.2631,1.010463,4.318957
7.5636,1.010294,4.322464
7.8638,1.010275,4.317906
8.1636,1.009262,4.327723
8.463,1.011437,4.309666
8.7637,1.011569,4.287225
9.0654,1.012713,4.301864
9.3635,1.007988,4.333859
9.6628,1.010425,4.323866
9.9644,1.0075,4.33421
10.2632,1.007444,4.351654
10.5647,1.006881,4.349024
10.8736,1.006919,4.349901
11.1649,1.007688,4.356037
11.464,1.006881,4.355248
11.7645,1.008794,4.339557
12.0642,1.007181,4.355774
12.3627,1.008869,4.351216
12.6629,1.012094,4.308877
12.9648,1.014756,4.266713
13.2639,1.012113,4.302916
13.5651,1.009638,4.318607
13.8644,1.008381,4.323691
14.1647,1.006619,4.348936
14.4644,1.007013,4.350076
14.7643,1.006281,4.354985
15.0631,1.006975,4.351303
15.3634,1.006544,4.353933
15.6638,1.005869,4.358754
15.9758,1.006863,4.350164
16.2644,1.0081,4.347446
16.5718,1.010181,4.327636
16.867,1.011831,4.313523
17.1688,1.014756,4.282755
17.5217,1.018488,4.232702
17.8605,1.018263,4.233929
18.1746,1.012169,4.296079
18.4701,1.01065,4.30949
18.7753,1.007556,4.33833
19.0558,1.007556,4.349725
19.3451,1.00705,4.344641
19.6297,1.008831,4.346307
19.9216,1.00795,4.337629
20.2104,1.0069,4.352706
20.4951,1.006113,4.357965
20.7814,1.006619,4.342537
21.0644,1.006975,4.35367
21.364,1.008119,4.34543
21.6636,1.009825,4.314662
21.9643,1.009131,4.326496
22.2641,1.012469,4.285823
22.5635,1.010425,4.327373
22.864,1.010538,4.323779
23.1637,1.009806,4.325181
23.4637,1.008588,4.328424
23.7642,1.006656,4.354809
24.0638,1.007369,4.35069
24.3643,1.009244,4.327986
24.6633,1.0117,4.32334
24.9639,1.010256,4.320272
25.2656,1.014063,4.274252
25.5648,1.010275,4.315714
25.8672,1.0114,4.309666
26.1637,1.008775,4.338856
26.4638,1.0096,4.328249
26.7634,1.008738,4.323866
27.0658,1.007669,4.347096
27.3642,1.007313,4.351303
27.6638,1.00705,4.353232
27.964,1.006525,4.357352
28.2647,1.007444,4.349813
28.5647,1.007369,4.342537
28.865,1.006994,4.350427
29.164,1.013238,4.304143
29.4636,1.011006,4.310016
29.7647,1.010894,4.301163
