Time (s),Voltage (V),Current (mA)
0.1066,0.012602,-0.125369
0.2164,0.013211,-0.051846
0.7063,0.03202,-0.087128
0.8587,0.030695,-0.015797
1.257,0.033566,0.037072
1.7069,0.046047,0.026224
2.1494,0.049855,0.073395
2.5062,0.053113,0.127414
2.8188,0.059043,0.154753
3.1427,0.064129,0.182584
3.4632,0.074418,0.204553
3.8041,0.082129,0.226194
4.1212,0.09359,0.228495
4.4472,0.095336,0.288157
4.7598,0.101605,0.31281
5.0664,0.107453,0.345627
5.3942,0.112117,0.38458
5.71,0.117801,0.416521
6.0684,0.12468,0.455638
6.3933,0.13068,0.484894
6.7261,0.137406,0.514533
7.061,0.145188,0.539461
7.4074,0.149617,0.577208
7.7603,0.162625,0.577811
8.1189,0.164594,0.634076
8.4655,0.171203,0.667277
8.8444,0.178176,0.701189
9.1524,0.189906,0.697792
9.4693,0.194125,0.73165
9.7941,0.203863,0.755701
10.1186,0.209148,0.783588
10.4199,0.214844,0.821609
10.7342,0.221477,0.850974
11.0355,0.227348,0.887955
11.3444,0.231098,0.937427
11.6429,0.237566,0.961478
11.9547,0.243367,0.999171
12.2716,0.248617,1.030289
12.5858,0.257652,1.059819
12.9,0.262891,1.08272
13.215,0.271012,1.110606
13.5273,0.27652,1.157558
13.8514,0.285051,1.177828
14.1725,0.290594,1.205002
14.4999,0.299465,1.245708
14.8539,0.304234,1.267787
15.182,0.31157,1.294139
15.5105,0.318273,1.339228
15.8584,0.324121,1.363444
16.2199,0.331633,1.390015
16.572,0.338207,1.427105
16.9312,0.348719,1.434611
17.2851,0.35425,1.458224
17.6318,0.364141,1.470496
17.9921,0.367516,1.521392
18.3353,0.373902,1.550977
18.6751,0.380594,1.587081
19.0169,0.384906,1.629814
19.3808,0.392734,1.65255
19.7258,0.397691,1.687887
20.0898,0.405262,1.71791
20.4419,0.410477,1.743002
20.7681,0.418152,1.783653
21.0951,0.422688,1.826551
21.4531,0.429801,1.839261
21.7806,0.44132,1.848849
22.1078,0.446922,1.885775
22.4378,0.453742,1.911634
22.7748,0.462754,1.941711
23.0812,0.468133,1.975021
23.3827,0.474168,2.000223
23.6843,0.481914,2.038957
23.9875,0.485711,2.082073
24.2902,0.490469,2.11867
24.599,0.49852,2.157897
24.9034,0.504402,2.179538
25.2093,0.510625,2.200247
25.5163,0.522941,2.223257
25.8318,0.525297,2.266429
26.1433,0.53152,2.295356
26.4786,0.540484,2.319242
26.7868,0.546016,2.354799
27.0959,0.554008,2.368276
27.4025,0.561684,2.398189
27.7177,0.567977,2.427719
28.0314,0.574352,2.459495
28.3557,0.581758,2.495708
28.6773,0.588027,2.525676
28.9966,0.592902,2.56567
29.3184,0.599336,2.605938
29.642,0.607082,2.625004
29.9679,0.613129,2.666751
30.2907,0.62091,2.702088
30.6111,0.62752,2.735069
30.9343,0.633438,2.76049
31.2568,0.641441,2.786623
31.6005,0.646469,2.833191
31.924,0.653945,2.856037
32.2552,0.659711,2.887429
32.5827,0.667926,2.910165
32.9165,0.673047,2.948023
33.252,0.681859,2.952789
33.5912,0.689523,2.983086
33.9241,0.695324,3.010534
34.2621,0.701547,3.032667
34.6006,0.709785,3.071675
34.9337,0.71568,3.095671
35.2696,0.72032,3.139555
35.6043,0.725641,3.179877
35.9373,0.735109,3.180042
36.2701,0.740957,3.215817
36.6348,0.750414,3.247977
36.9709,0.754656,3.275315
37.3154,0.761641,3.305283
37.6487,0.76982,3.341442
37.9989,0.774848,3.372177
38.3604,0.785688,3.362206
38.7152,0.790117,3.428278
39.0703,0.795672,3.455506
39.4384,0.799117,3.513087
39.9256,0.807168,3.539713
40.2776,0.814094,3.573406
40.6286,0.819121,3.599868
40.9522,0.825672,3.643916
41.2789,0.835047,3.638875
41.6118,0.837098,3.713823
41.9695,0.845828,3.72993
42.2919,0.85232,3.755625
42.6166,0.859234,3.781045
42.9403,0.866008,3.817971
43.2817,0.87277,3.849528
43.6164,0.878594,3.875716
43.9506,0.886035,3.909628
44.2892,0.892492,3.930447
44.6235,0.898762,3.965949
44.9268,0.905887,4.004792
45.2259,0.913293,4.010928
45.5364,0.919129,4.058537
45.8368,0.926289,4.088122
46.1335,0.93352,4.122199
46.4348,0.939027,4.151619
46.733,0.94668,4.191996
47.0297,0.954145,4.209802
47.3351,0.959875,4.241797
47.6429,0.970082,4.245248
47.9474,0.977113,4.275928
48.2545,0.983289,4.306992
48.5627,0.99277,4.32299
48.8844,1.000703,4.32025
49.2051,1.003199,4.393938
