Time (s),Voltage (V),Current (mA)
0.056,1.010664,4.31784
0.3529,1.009141,4.327373
0.7227,1.012516,4.292638
0.9568,1.016359,4.258342
1.2536,1.010688,4.319812
1.5522,1.008859,4.321127
1.9126,1.009937,4.322332
2.3293,1.006047,4.355861
2.5825,1.007734,4.346109
2.8367,1.007195,4.358272
3.0922,1.007148,4.349177
3.356,1.007078,4.355533
3.6517,1.00825,4.349287
3.953,1.005602,4.349397
4.2518,1.006492,4.3563
4.5528,1.007898,4.351807
4.852,1.007992,4.356081
5.1526,1.008156,4.344028
5.4536,1.016219,4.247933
5.7521,1.010359,4.315758
6.051,1.008695,4.332194
6.3579,1.014203,4.285078
6.6665,1.015398,4.285187
6.9589,1.013055,4.294391
7.2852,1.018141,4.245632
7.5523,1.006188,4.357615
7.8527,1.009609,4.333837
8.1526,1.008719,4.335262
8.4528,1.014484,4.285187
8.7521,1.009375,4.332084
9.0523,1.008883,4.331317
9.3543,1.009398,4.328468
9.6523,1.009773,4.319812
9.9528,1.00668,4.350164
10.2521,1.0075,4.339535
10.5518,1.00832,4.341069
10.8529,1.006844,4.337453
11.1526,1.00682,4.347096
11.4529,1.009375,4.326825
11.7525,1.005719,4.358382
12.0523,1.005602,4.357067
12.3511,1.006234,4.348849
12.6518,1.006656,4.357943
12.9528,1.012609,4.311813
13.2527,1.009328,4.331098
13.5519,1.009352,4.324743
13.8516,1.011109,4.310937
14.1528,1.009539,4.327811
14.4549,1.013195,4.257466
14.7514,1.013336,4.287817
15.0516,1.007617,4.352246
15.3522,1.007383,4.341179
15.6517,1.006539,4.344356
15.9531,1.005789,4.352465
16.2518,1.005578,4.353889
16.5534,1.006,4.363422
16.8523,1.005438,4.355971
17.1512,1.007148,4.352026
17.4525,1.009398,4.331536
17.753,1.018563,4.269299
18.0535,1.013078,4.285516
18.3508,1.009844,4.298665
18.6523,1.010031,4.325729
18.9523,1.009305,4.323318
19.2523,1.00893,4.350931
19.5516,1.007406,4.330441
19.8525,1.008109,4.346109
20.1523,1.006352,4.347972
20.4516,1.005414,4.358491
20.7523,1.006141,4.34863
21.0522,1.006773,4.361669
21.3534,1.009891,4.331646
21.6525,1.00682,4.355423
21.9516,1.006867,4.351259
22.2599,1.007383,4.36901
22.5531,1.008039,4.311485
22.8521,1.007781,4.349944
23.1528,1.007617,4.340631
23.452,1.007313,4.339864
23.7515,1.009164,4.323866
24.0522,1.007359,4.347972
24.3531,1.006516,4.359587
24.652,1.006844,4.35882
24.953,1.006844,4.360244
25.2523,1.006539,4.356409
25.5509,1.00607,4.355423
25.8523,1.006211,4.356957
26.1519,1.006305,4.353232
26.4518,1.008438,4.352793
26.7517,1.010969,4.316744
27.0529,1.00593,4.356519
27.3531,1.009047,4.349835
27.653,1.007828,4.346986
27.9513,1.00818,4.317182
28.2538,1.009164,4.331536
28.5523,1.006914,4.353013
28.8524,1.005578,4.35367
29.1524,1.007594,4.359587
29.4523,1.006188,4.35871
29.7523,1.005578,4.358601
