Time (s),Voltage (V),Current (A)
0.0178,0.4991,2.261197548
0.2257,0.5187,2.367751061
0.4323,0.5419,2.459688826
0.6416,0.559,2.557755776
0.849,0.5822,2.664309288
1.0591,0.6018,2.75106082
1.2675,0.6238,2.857614333
1.4762,0.6452,2.946723244
1.6847,0.6647,3.041961339
1.8908,0.6873,3.136727959
2.0999,0.7044,3.229137199
2.3087,0.7289,3.330033003
2.5173,0.746,3.421970769
2.7255,0.768,3.514380009
2.934,0.7887,3.611975483
3.1429,0.8095,3.715700141
3.3484,0.8315,3.802451674
3.5578,0.8504,3.905704856
3.7663,0.8737,3.998114097
3.9754,0.895,4.099009901
4.1839,0.9121,4.190947666
4.3928,0.9372,4.297501179
4.6014,0.9537,4.401225837
4.8099,0.9781,4.496463932
5.0161,0.994,4.571428571
5.0713,0.9983,4.579915134
5.2766,0.9751,4.481848185
5.479,0.9567,4.392739274
5.6836,0.9341,4.306459217
5.8883,0.9158,4.190947666
6.0921,0.8938,4.093352192
6.2975,0.8724,4.018387553
6.4983,0.8504,3.914662895
6.7035,0.8358,3.828382838
6.908,0.8162,3.72465818
7.1131,0.7961,3.635077793
7.317,0.7716,3.543140028
7.521,0.7527,3.447901933
7.7256,0.7337,3.349834983
7.9284,0.7118,3.257897218
8.1335,0.6928,3.165487977
8.3374,0.6745,3.073550212
8.5418,0.6549,2.978312117
8.7457,0.6323,2.889203206
8.9469,0.6103,2.793965111
9.1529,0.5896,2.707685054
9.3564,0.5694,2.603960396
9.5622,0.548,2.500235738
9.7656,0.5315,2.41961339
9.9713,0.5065,2.32154644
10.1726,0.4875,2.214992928
10.377,0.4655,2.114097124
10.5823,0.4472,2.033474776
10.7873,0.4271,1.941537011
10.9905,0.4044,1.840641207
11.195,0.3843,1.757190005
11.3959,0.3641,1.656294201
11.6023,0.3446,1.549740688
11.8065,0.3262,1.463460632
12.011,0.3067,1.373880245
12.215,0.2847,1.279113626
12.4196,0.2627,1.189533239
12.622,0.245,1.097595474
12.8268,0.2248,0.991041961
13.0308,0.2016,0.904290429
13.2361,0.1821,0.812352664
13.4393,0.1662,0.719943423
13.6437,0.1448,0.619519095
13.8463,0.1216,0.524281
14.0518,0.1026,0.440829797
14.2554,0.0819,0.351249411
14.4601,0.0629,0.233380481
14.6645,0.0409,0.143800094
14.8665,0.0208,0.054691183
15.0714,0.0006,-0.040546912
15.1513,0.0006,-0.037246582
15.3604,0.0232,0.049033475
15.5693,0.0415,0.155586987
15.7757,0.0654,0.256482791
15.9847,0.0813,0.351249411
16.193,0.1033,0.435172089
16.4034,0.1252,0.532767562
16.6105,0.1478,0.628005658
16.8187,0.1686,0.728901462
17.0246,0.1894,0.823668081
17.2332,0.2096,0.924563885
17.4423,0.2285,1.022630835
17.6514,0.2474,1.1145686
17.8603,0.2676,1.201320132
18.0683,0.289,1.322017916
18.2769,0.3128,1.414427157
18.4858,0.3324,1.500707214
18.692,0.3513,1.601603017
18.901,0.3739,1.690711928
19.1099,0.3916,1.788778878
19.3187,0.4173,1.87223008
19.527,0.4356,1.97029703
19.7357,0.4582,2.071192834
19.9438,0.4778,2.174917492
20.1527,0.501,2.272512966
