Time (s),Voltage (V),Current (mA)
0.1383,0.508457,2.201452
0.3208,0.517551,2.243418
0.7682,0.541762,2.202329
0.8913,0.54877,2.258101
1.2548,0.549918,2.367783
1.6256,0.562832,2.413858
2.0451,0.571422,2.461851
2.3576,0.58252,2.500804
2.6819,0.592715,2.540578
3.0031,0.602617,2.594926
3.3209,0.61327,2.640015
3.6421,0.623254,2.69502
3.9611,0.633379,2.740657
4.2798,0.643996,2.789307
4.5987,0.654074,2.83341
4.9164,0.66598,2.879376
5.2508,0.676809,2.928847
5.5992,0.6895,2.948242
5.9458,0.694973,3.01908
6.2833,0.70484,3.062087
6.6169,0.714883,3.104985
6.95,0.724059,3.147225
7.2841,0.733762,3.196204
7.6204,0.744473,3.236088
7.9549,0.753977,3.292299
8.2905,0.76491,3.342318
8.6514,0.776348,3.386366
9.0027,0.785113,3.436879
9.3537,0.796434,3.477585
9.7111,0.807531,3.508813
10.0766,0.816262,3.562449
10.4336,0.826527,3.615263
10.7867,0.838293,3.653723
11.1149,0.847223,3.688621
11.4421,0.856937,3.759953
11.7707,0.86766,3.801207
12.0937,0.876719,3.851555
12.4337,0.887254,3.893028
12.7669,0.899898,3.921462
13.1076,0.908406,3.975043
13.455,0.919551,4.016023
13.7959,0.927508,4.076726
14.138,0.938242,4.123075
14.4418,0.947699,4.168438
14.7419,0.959289,4.218348
15.0453,0.969848,4.263163
15.3496,0.979445,4.320196
15.6659,0.988434,4.378762
15.9808,0.999754,4.400402
16.2837,1.00975,4.444341
16.5892,1.012375,4.425001
16.9126,1.002754,4.372736
17.2159,0.993262,4.322825
17.5215,0.982586,4.283051
17.827,0.974113,4.230127
18.1341,0.962945,4.18838
18.4418,0.951309,4.151345
18.7472,0.941805,4.099024
19.0574,0.931762,4.053606
19.3652,0.92077,4.013174
19.6694,0.9115,3.955594
19.9767,0.89902,3.935049
20.2771,0.887805,3.894124
20.5784,0.878512,3.842625
20.8971,0.868902,3.801152
21.2011,0.858883,3.762747
21.5075,0.847949,3.709166
21.8097,0.838973,3.66846
22.114,0.828145,3.628357
22.4214,0.821945,3.547931
22.7266,0.811668,3.505143
23.0312,0.801906,3.454137
23.3332,0.791676,3.41354
23.6389,0.781715,3.36993
23.9464,0.770828,3.32528
24.2508,0.761055,3.276082
24.5567,0.751984,3.229349
24.8753,0.736539,3.211708
25.1832,0.726602,3.160483
25.4883,0.718715,3.090083
25.802,0.707324,3.066525
26.1301,0.697246,3.026641
26.4318,0.688211,2.980894
26.7423,0.678766,2.936298
27.0496,0.668102,2.900797
27.3546,0.659242,2.846504
27.669,0.648777,2.796649
27.9714,0.637504,2.757696
28.2775,0.62698,2.712223
28.5811,0.618016,2.661656
28.8863,0.607457,2.620237
29.1889,0.596441,2.571039
29.4897,0.58566,2.516746
29.7942,0.57632,2.469247
30.1027,0.565668,2.432266
30.4097,0.55627,2.386629
30.7119,0.546449,2.341047
31.0164,0.536793,2.298369
31.3192,0.526504,2.2455
31.6285,0.519273,2.191974
31.937,0.505656,2.156089
32.2446,0.496879,2.115328
32.5459,0.486531,2.058844
32.8505,0.47568,2.01381
33.1571,0.464852,1.977487
33.4613,0.455395,1.925001
33.7677,0.444684,1.881173
34.0742,0.435004,1.835371
34.3793,0.424211,1.795651
34.6809,0.415012,1.742947
34.9861,0.404641,1.698132
35.2925,0.394492,1.652824
35.5959,0.386078,1.602585
35.9012,0.374734,1.561222
36.2307,0.365195,1.525939
36.5346,0.355691,1.475536
36.8381,0.348906,1.406506
37.1449,0.336637,1.378565
37.4501,0.325879,1.339776
37.7548,0.31457,1.292934
38.2014,0.304809,1.251625
38.505,0.295398,1.202373
38.8103,0.285203,1.152901
39.1165,0.275336,1.104415
39.4188,0.265516,1.062394
39.737,0.254383,1.010731
40.0402,0.242992,0.966299
40.343,0.23452,0.920662
40.6474,0.223937,0.875519
40.9513,0.213426,0.832512
41.28,0.202949,0.790929
41.583,0.193855,0.732417
41.8872,0.184105,0.693245
42.1896,0.175293,0.649362
42.4956,0.164066,0.605807
42.8007,0.153121,0.559951
43.1073,0.143852,0.514588
43.4094,0.133504,0.467362
43.7152,0.123098,0.422218
44.0395,0.11882,0.351709
44.3618,0.107406,0.306181
44.6723,0.094281,0.281418
44.9856,0.085398,0.234631
45.298,0.075637,0.191514
45.6064,0.063766,0.150698
45.9116,0.054883,0.104021
46.2229,0.04327,0.073724
46.5591,0.040598,-0.010428
46.867,0.029734,-0.047737
47.1909,0.019738,-0.092333
47.4981,0.021437,-0.098359
47.8091,0.030309,-0.054366
48.1156,0.045438,-0.022152
48.4342,0.049035,0.040359
48.7437,0.059207,0.083804
49.0492,0.067797,0.129167
49.3642,0.080512,0.179845
49.669,0.089031,0.219784
49.9732,0.099332,0.264051
50.2803,0.112035,0.296649
50.5901,0.116172,0.374883
50.9064,0.13259,0.389511
51.215,0.136199,0.468458
51.525,0.144871,0.518861
51.8395,0.159707,0.549596
52.1461,0.166773,0.615339
52.4544,0.177473,0.661305
52.758,0.188207,0.702833
53.0623,0.197207,0.744251
53.3715,0.206406,0.797613
53.6746,0.221242,0.799311
53.9918,0.226281,0.881709
54.2976,0.236406,0.924223
54.6032,0.247105,0.974298
54.9131,0.255848,1.020757
55.2233,0.267121,1.073954
55.5278,0.276836,1.116961
55.8401,0.292316,1.130603
56.1546,0.29943,1.207796
56.4789,0.30482,1.275074
56.8066,0.317758,1.306302
57.1129,0.327965,1.348597
57.4189,0.337598,1.392535
57.7229,0.347852,1.443432
58.0256,0.357848,1.490383
58.3332,0.369062,1.536568
58.6385,0.387027,1.533336
