Time (s),Voltage (V),Current (mA)
0.0616,0.014758,-0.124218
0.1238,0.016234,-0.063406
0.5678,0.025539,-0.061433
0.6774,0.037047,-0.044231
1.0631,0.034281,0.028525
1.4534,0.042367,0.051864
1.8616,0.047641,0.087694
2.1199,0.057789,0.099309
2.4274,0.064563,0.122977
2.6929,0.067609,0.171955
2.9748,0.076188,0.197376
3.2624,0.082258,0.229809
3.5326,0.087531,0.261476
3.8118,0.094,0.293581
4.0684,0.102813,0.304647
4.3269,0.107055,0.354831
4.5859,0.114625,0.375102
4.8603,0.12032,0.41159
5.1426,0.129578,0.43964
5.4208,0.140312,0.433614
5.709,0.146453,0.461336
6.0095,0.148539,0.516341
6.3396,0.163938,0.497056
6.6536,0.174742,0.528175
6.9585,0.176266,0.584276
7.2793,0.180578,0.629419
7.6152,0.180531,0.684096
7.9464,0.188383,0.707325
8.2115,0.197594,0.716201
8.4829,0.206477,0.746333
8.7376,0.213344,0.775917
8.9901,0.218477,0.785998
9.244,0.22607,0.838812
9.5103,0.233359,0.844729
9.7703,0.238211,0.891297
10.0404,0.242359,0.947069
10.3168,0.25007,0.951781
10.5958,0.252977,1.007334
10.8725,0.2635,1.03144
11.1423,0.271023,1.051601
11.4102,0.271937,1.101128
11.6812,0.283844,1.120632
11.9633,0.291086,1.140903
12.254,0.296078,1.162817
12.5484,0.301656,1.218808
12.8347,0.311125,1.24927
13.1392,0.314313,1.280826
13.4296,0.322398,1.31578
13.7164,0.332711,1.312931
14.0089,0.340984,1.334517
14.3139,0.346328,1.369361
14.6132,0.354953,1.395548
14.9299,0.363437,1.412642
15.2393,0.366273,1.464908
15.552,0.370797,1.497779
15.8556,0.377828,1.521009
16.1611,0.389477,1.527802
16.4627,0.39243,1.573932
16.7664,0.39625,1.625541
17.0659,0.403703,1.662028
17.3726,0.408414,1.692818
17.7029,0.418211,1.697091
17.984,0.421914,1.747385
18.2671,0.427773,1.788036
18.5474,0.434008,1.821565
18.8243,0.44868,1.791214
19.1078,0.448305,1.857395
19.3864,0.455828,1.905498
19.6748,0.463094,1.942423
19.9322,0.470219,1.967077
20.1834,0.47582,1.990964
20.4343,0.48257,2.032054
20.6915,0.489531,2.045421
20.9503,0.495437,2.087497
21.2079,0.50418,2.126067
21.4681,0.509805,2.141516
21.736,0.51407,2.180305
21.9948,0.525133,2.200028
22.2549,0.5305,2.239145
22.5141,0.535656,2.260402
22.7979,0.54407,2.295684
23.0577,0.551031,2.318475
23.3134,0.555438,2.353758
23.5717,0.565469,2.370084
23.8342,0.569688,2.420925
24.0986,0.574562,2.444264
24.3716,0.583563,2.482615
24.6437,0.589727,2.515705
24.9149,0.595141,2.549782
25.1867,0.605148,2.574546
25.4609,0.610844,2.601939
25.734,0.61682,2.639193
26.0089,0.625188,2.667682
26.2806,0.633273,2.691459
26.5534,0.636813,2.739123
26.8297,0.650148,2.730576
27.1132,0.652398,2.784376
27.386,0.658914,2.822398
27.6707,0.661961,2.877842
27.968,0.672297,2.879704
28.2571,0.679867,2.900085
28.5469,0.68568,2.930217
28.8337,0.690273,2.968787
29.123,0.696813,3.002425
29.4126,0.702672,3.029161
29.704,0.710734,3.067949
29.9976,0.717625,3.075729
30.2835,0.723578,3.10378
30.5729,0.729789,3.151882
30.8614,0.736117,3.178617
31.1521,0.742703,3.205572
31.4467,0.749992,3.237896
31.7388,0.757797,3.260906
32.0277,0.763516,3.277999
