Time (s),Voltage (V),Current (mA)
0.0171,0.4949,2.238318
0.1711,0.5028,2.27243
0.2199,0.5095,2.303738
0.2688,0.5144,2.332243
0.3182,0.523,2.364019
0.3668,0.5285,2.395327
0.421,0.5346,2.435047
0.4901,0.5413,2.45514
0.5563,0.5486,2.486449
0.6254,0.5554,2.51215
0.6916,0.5615,2.546729
0.7601,0.5676,2.580841
0.826,0.5749,2.598131
0.8957,0.5816,2.649533
0.9617,0.5896,2.678037
1.0304,0.5981,2.706542
1.0964,0.603,2.735047
1.1659,0.6097,2.771963
1.2338,0.6164,2.806542
1.301,0.6244,2.835047
1.3676,0.6287,2.860748
1.4365,0.6366,2.906075
1.5028,0.6427,2.926168
1.5718,0.6507,2.943458
1.6414,0.6555,2.983178
1.7064,0.6653,3.017757
1.7735,0.669,3.031776
1.8431,0.6757,3.080374
1.9127,0.6806,3.103271
1.9822,0.6879,3.140187
2.0551,0.6971,3.169159
2.1281,0.7044,3.191589
2.1789,0.7087,3.223364
2.2531,0.7179,3.257477
2.3131,0.7246,3.283178
2.382,0.7283,3.314486
2.448,0.7368,3.348598
2.5174,0.7441,3.37757
2.5831,0.749,3.411682
2.6526,0.757,3.440187
2.7187,0.7637,3.471495
2.7878,0.7661,3.502804
2.8537,0.7783,3.537383
2.9194,0.7838,3.56028
2.989,0.7912,3.597196
3.0581,0.7961,3.634112
3.1275,0.801,3.657009
3.1932,0.8126,3.685514
3.2593,0.8174,3.714019
3.3252,0.8217,3.745794
3.3944,0.8315,3.768692
3.4599,0.8364,3.805607
3.5294,0.8437,3.836916
3.5951,0.8504,3.868224
3.6647,0.8541,3.9
3.7303,0.8651,3.934112
3.7999,0.87,3.957009
3.8655,0.8761,3.996729
3.9351,0.8853,4.016822
4.0007,0.8902,4.048131
4.0703,0.8999,4.088318
4.1359,0.9036,4.10514
4.2054,0.9103,4.153738
4.2711,0.9201,4.179439
4.3406,0.9244,4.20514
4.4061,0.9317,4.248131
4.4757,0.939,4.268224
4.5413,0.9439,4.307944
4.6108,0.9525,4.339252
4.676,0.9561,4.368224
4.7456,0.9616,4.393458
4.8113,0.9708,4.419159
4.8807,0.9781,4.453738
4.9466,0.9812,4.48785
5.0162,0.9903,4.510748
5.0652,0.9879,4.516355
5.1345,0.9848,4.48785
5.2003,0.9763,4.453738
5.2695,0.9702,4.430841
5.3353,0.9653,4.396729
5.401,0.9561,4.368224
5.4703,0.9506,4.333645
5.5362,0.9457,4.30514
5.6053,0.9372,4.273832
5.6713,0.9329,4.259346
5.7369,0.925,4.214019
5.8063,0.9189,4.182243
5.8733,0.9109,4.153738
5.9387,0.9048,4.119626
6.0074,0.8981,4.091121
6.0732,0.8926,4.065421
6.142,0.8834,4.025234
6.2079,0.8761,3.999533
6.2735,0.8706,3.962617
6.3428,0.8651,3.936916
6.4092,0.8565,3.908411
6.4777,0.8504,3.88271
6.5442,0.8431,3.834112
6.6097,0.8382,3.808411
6.6791,0.8321,3.777103
6.7448,0.8248,3.754206
6.81,0.8168,3.728505
6.8801,0.8132,3.697196
6.9455,0.804,3.657009
7.015,0.7979,3.642991
7.0808,0.7912,3.594393
7.1466,0.7857,3.571495
7.2156,0.7777,3.545794
7.2812,0.7722,3.511682
7.3501,0.7649,3.474299
7.4161,0.76,3.445794
7.4832,0.749,3.420093
7.5561,0.7478,3.394393
7.6225,0.7386,3.348598
7.6911,0.7301,3.334579
7.7563,0.724,3.291589
7.8186,0.7185,3.26028
7.8872,0.7105,3.234579
7.965,0.705,3.203271
8.0186,0.6995,3.174766
8.0885,0.6922,3.151869
8.1703,0.683,3.111682
8.2228,0.6788,3.085981
8.2891,0.6714,3.06028
8.3545,0.6653,3.023364
8.424,0.6604,2.989252
8.4898,0.6543,2.969159
8.5555,0.6458,2.93785
8.6248,0.6391,2.906075
8.6905,0.6329,2.87757
8.7597,0.6274,2.849065
8.8256,0.6195,2.809346
8.8913,0.6122,2.780841
8.9605,0.6048,2.746262
9.0264,0.5993,2.726636
9.0954,0.589,2.69486
9.1615,0.5865,2.65514
9.2271,0.578,2.621028
9.2962,0.5718,2.600935
9.3619,0.5639,2.566355
9.4313,0.5572,2.53785
9.497,0.5499,2.500935
