Time (s),Voltage (V),Current (mA)
0.0839,1.00668,4.347643
0.3719,1.004523,4.379967
0.7639,1.011531,4.313019
0.9751,1.013758,4.291323
1.2533,1.007594,4.346767
1.5528,1.008883,4.334604
1.9311,1.010852,4.321127
2.8433,1.018375,4.236976
3.2379,1.011648,4.298007
3.3135,1.008531,4.332851
3.5798,1.00607,4.355861
3.9292,1.009844,4.304472
4.2585,1.017297,4.243002
4.5449,1.014836,4.282229
4.7957,1.009094,4.340083
5.0529,1.008133,4.339097
5.3114,1.010195,4.329564
5.6829,1.014227,4.267984
5.9558,1.010406,4.327811
6.2313,1.010992,4.293405
6.5026,1.008109,4.342165
6.762,1.007617,4.353889
7.029,1.00825,4.334057
7.2946,1.007172,4.348958
7.5615,1.010102,4.322332
7.8365,1.009352,4.32288
8.1115,1.008156,4.348301
8.392,1.006516,4.354985
8.6424,1.008086,4.342932
8.8938,1.007125,4.355094
9.154,1.008883,4.330221
9.4038,1.008063,4.351259
9.6516,1.008227,4.350054
9.9517,1.006727,4.354985
10.2514,1.006914,4.352903
10.5522,1.007125,4.353341
10.8524,1.005133,4.361559
11.1521,1.006727,4.36386
11.4524,1.007688,4.354985
11.7529,1.007219,4.356409
12.0526,1.007195,4.347863
12.3523,1.006445,4.345014
12.6514,1.008766,4.343261
12.951,1.010734,4.306773
13.252,1.011063,4.309403
13.5519,1.007664,4.326386
13.8526,1.007008,4.353013
14.1523,1.005602,4.351698
14.4522,1.006539,4.350492
14.7515,1.006352,4.359806
15.0522,1.006656,4.346109
15.3535,1.013125,4.30743
15.6522,1.008695,4.334714
15.952,1.015094,4.299541
16.2524,1.009727,4.331098
16.5511,1.017883,4.247275
16.8524,1.011602,4.295597
17.1529,1.010289,4.319374
17.4538,1.009211,4.314881
17.7527,1.007477,4.353341
18.0527,1.006492,4.351478
18.3532,1.007406,4.357615
18.6516,1.006656,4.356738
18.952,1.007195,4.355861
19.2529,1.006328,4.348082
19.552,1.010547,4.325948
19.8644,1.014508,4.278394
20.1531,1.008227,4.354108
20.4517,1.009047,4.331427
20.7529,1.007594,4.357067
21.052,1.006938,4.343041
21.3519,1.008227,4.344904
21.653,1.007289,4.345233
21.9523,1.007453,4.353889
22.2519,1.00743,4.349835
22.5529,1.007289,4.346767
22.8524,1.006891,4.354547
23.1521,1.006281,4.357395
23.4542,1.008836,4.336029
23.7518,1.006586,4.347315
24.0518,1.009563,4.321675
24.3526,1.010313,4.315648
24.6519,1.009609,4.320689
24.9529,1.011578,4.318278
25.2527,1.011203,4.316196
25.5514,1.010477,4.31784
25.8536,1.008836,4.330112
26.1527,1.008391,4.321456
26.4528,1.007195,4.346986
26.7539,1.005531,4.355971
27.0518,1.006211,4.350821
27.3516,1.006492,4.358491
27.6519,1.006703,4.349835
27.9522,1.006328,4.354766
28.2517,1.007031,4.347643
28.5523,1.006938,4.353999
28.8522,1.010266,4.334385
29.1512,1.006867,4.353889
29.4524,1.008695,4.338111
29.7521,1.008063,4.347972
