Time (s),Voltage (V),Current (mA)
0.0168,0.4967,1.433178
0.2214,0.5101,1.444393
0.424,0.5175,1.450467
0.6287,0.5315,1.470093
0.8332,0.5389,1.478972
1.0376,0.5474,1.492991
1.242,0.5621,1.507477
1.4462,0.5688,1.513084
1.6486,0.581,1.507477
1.8518,0.589,1.507477
2.0565,0.6006,1.518692
2.2611,0.6103,1.52757
2.4658,0.6232,1.544393
2.667,0.6329,1.570093
2.8717,0.6452,1.575701
3.0765,0.6525,1.604673
3.2811,0.6629,1.604673
3.4857,0.6727,1.621495
3.6903,0.6837,1.641589
3.8916,0.6916,1.661682
4.0964,0.7008,1.681308
4.3011,0.7154,1.695794
4.5084,0.7221,1.698598
4.7103,0.735,1.715888
4.9115,0.7429,1.735981
5.1163,0.7533,1.761682
5.3211,0.7661,1.76729
5.527,0.7747,1.775701
5.7314,0.7838,1.795794
5.9354,0.7973,1.809813
6.1398,0.804,1.824299
6.3425,0.8144,1.841589
6.5471,0.8254,1.858411
6.7515,0.8352,1.870093
6.9556,0.8468,1.895794
7.16,0.8547,1.907009
7.3623,0.8663,1.921495
7.5671,0.8773,1.93271
7.7717,0.8853,1.961215
7.9762,0.8963,1.978505
8.1803,0.9085,1.98972
8.3848,0.9195,1.992523
8.5869,0.928,2.015421
8.7917,0.9378,2.046729
8.9965,0.9488,2.055607
9.2005,0.9561,2.075701
9.4047,0.9659,2.078505
9.6089,0.9732,2.084112
9.8116,0.9732,2.069626
10.0164,0.9757,2.08972
10.0968,0.9763,2.092523
10.299,0.9726,2.095327
10.5025,0.9726,2.075701
10.7042,0.9647,2.075701
10.9052,0.9567,2.058411
11.1087,0.9488,2.043925
11.3105,0.939,2.018224
11.5113,0.9286,2.012617
11.715,0.9189,1.981308
11.9168,0.9091,1.978505
12.1162,0.8981,1.944393
12.3206,0.8889,1.927103
12.5217,0.8773,1.918692
12.7237,0.8657,1.904206
12.9268,0.8553,1.881308
13.1287,0.8486,1.870093
13.3299,0.8388,1.844393
13.5329,0.8284,1.827103
13.735,0.8162,1.838785
13.9365,0.8058,1.792991
14.1368,0.7973,1.781308
14.341,0.7869,1.772897
14.5426,0.7783,1.741589
14.7453,0.7692,1.729907
14.9469,0.7539,1.715888
15.1485,0.7447,1.687383
15.3492,0.735,1.687383
15.5532,0.7252,1.658879
15.7546,0.7173,1.627103
15.9554,0.7063,1.61028
16.1592,0.6971,1.598598
16.3608,0.6885,1.590187
16.5616,0.6751,1.572897
16.7652,0.6653,1.558879
16.9668,0.6568,1.530374
17.168,0.6458,1.521495
17.3714,0.636,1.487383
17.573,0.6274,1.490187
17.7739,0.6158,1.464486
17.9768,0.603,1.444393
18.1792,0.5969,1.433178
18.3801,0.5871,1.418692
18.5834,0.5737,1.415888
18.7853,0.5639,1.373364
18.9863,0.5505,1.350467
19.1896,0.5419,1.34486
19.3911,0.5321,1.330374
19.5925,0.5236,1.319159
19.7955,0.5126,1.296262
19.9973,0.5053,1.284579
20.1987,0.4912,1.256075
20.4017,0.4839,1.22757
20.6036,0.4741,1.22757
20.8049,0.4643,1.204673
21.0077,0.4552,1.18785
21.2096,0.4429,1.184579
21.411,0.4313,1.147664
21.6117,0.4216,1.139252
21.8156,0.4112,1.12757
22.0172,0.4032,1.090654
22.2179,0.3947,1.08785
22.4218,0.3788,1.064953
22.6233,0.3702,1.06215
22.8241,0.3623,1.030841
23.0276,0.3531,1.013551
23.2283,0.3415,1.001869
23.4305,0.333,0.979439
23.6338,0.3226,0.959346
23.8358,0.3128,0.942056
24.0365,0.3024,0.936449
24.24,0.2884,0.919159
24.4418,0.2823,0.902336
24.6425,0.2731,0.882243
24.8461,0.2621,0.856542
25.0479,0.2511,0.84486
25.2488,0.2413,0.828037
25.4526,0.2303,0.807944
25.6538,0.2224,0.799533
25.855,0.2114,0.790654
26.0582,0.1998,0.750935
26.2601,0.1937,0.736449
26.4612,0.1839,0.728037
26.6645,0.1692,0.707944
26.8659,0.1595,0.696729
27.0674,0.1533,0.676636
27.2702,0.143,0.668224
27.4723,0.132,0.636449
27.6736,0.1204,0.625234
27.8743,0.1136,0.614019
28.0783,0.102,0.602336
28.2798,0.0898,0.585047
28.4808,0.0806,0.550935
28.6846,0.0721,0.553738
28.8861,0.0611,0.548131
29.0867,0.0513,0.511215
29.2902,0.0403,0.491121
29.4921,0.0354,0.473832
29.6929,0.0263,0.465421
29.8966,0.0122,0.445327
30.0983,0.0037,0.425234
30.1665,0.0031,0.428037
30.3724,0.0134,0.450935
30.5765,0.022,0.471028
30.7806,0.0324,0.485514
30.9831,0.0422,0.496729
31.1878,0.0538,0.516822
31.3925,0.0611,0.533645
31.5968,0.0721,0.533645
31.801,0.0831,0.568224
32.0029,0.0941,0.573832
32.2077,0.1033,0.614019
32.4125,0.1118,0.616822
32.6168,0.124,0.630841
32.8216,0.1332,0.648131
33.0256,0.1448,0.66215
33.2275,0.1527,0.676636
33.4323,0.1631,0.696729
33.6372,0.1747,0.710748
33.842,0.1815,0.733645
34.0459,0.1949,0.742056
34.2499,0.2041,0.756542
34.4544,0.2157,0.776636
34.657,0.2224,0.790654
34.8602,0.2352,0.80514
35.0662,0.2444,0.839252
35.2702,0.2554,0.84486
35.4747,0.2627,0.86215
35.6769,0.2743,0.879439
35.8816,0.2859,0.896262
36.0864,0.2945,0.913551
36.2904,0.3085,0.930841
36.4947,0.3183,0.950467
36.6993,0.3262,0.967757
36.9015,0.3342,0.98785
37.1062,0.3446,1.007944
37.3109,0.3568,1.00514
37.5151,0.3635,1.02757
37.7191,0.3745,1.053271
37.9214,0.388,1.06215
38.1262,0.3953,1.070561
38.3313,0.4044,1.099065
38.5352,0.4148,1.113551
38.7397,0.4277,1.130374
38.9437,0.4393,1.142056
39.146,0.4484,1.164953
39.3512,0.4588,1.184579
39.5555,0.4668,1.196262
39.76,0.4814,1.221963
39.9644,0.4894,1.24486
40.1686,0.501,1.247664
40.2501,0.4991,1.253271
40.4556,0.5083,1.264953
40.6596,0.5187,1.281776
40.8622,0.5303,1.296262
41.0661,0.5401,1.301869
41.2711,0.5492,1.34486
41.476,0.5602,1.347664
41.68,0.5706,1.373364
41.882,0.5816,1.387383
42.0861,0.5914,1.404673
42.2908,0.6024,1.413084
