Time (s),Voltage (V),Current (mA)
0.0168,0.493,6.849065
0.2215,0.5101,2.364019
0.4241,0.5187,1.681308
0.6286,0.5303,1.421963
0.8324,0.5413,1.239252
1.0375,0.5517,1.130374
1.2416,0.5602,1.124766
1.4439,0.5725,1.073364
1.6487,0.5847,0.979439
1.8534,0.5945,0.985047
2.0576,0.6024,0.98785
2.2619,0.6116,0.985047
2.4664,0.6238,0.90514
2.6686,0.6323,0.913551
2.8734,0.6452,0.928037
3.078,0.6543,0.916355
3.2816,0.6665,0.82243
3.4863,0.6751,0.882243
3.6906,0.683,0.836449
3.8932,0.6934,0.839252
4.098,0.705,0.76215
4.3028,0.7166,0.825234
4.507,0.7246,0.78785
4.7113,0.7325,0.767757
4.9154,0.7447,0.702336
5.1179,0.7557,0.773832
5.3226,0.7643,0.728037
5.5272,0.7765,0.66215
5.7313,0.7869,0.642523
5.9353,0.7948,0.72243
6.14,0.8034,0.673832
6.3426,0.8193,0.585047
6.5474,0.8266,0.588318
6.7516,0.8364,0.656542
6.9558,0.8468,0.63972
7.16,0.8608,0.514019
7.3624,0.8675,0.588318
7.5672,0.8773,0.610748
7.772,0.8883,0.614019
7.976,0.8975,0.479439
8.1804,0.9097,0.573832
8.3846,0.9207,0.582243
8.5871,0.9293,0.593925
8.7957,0.9433,0.52243
8.9966,0.9512,0.582243
9.2006,0.9629,0.559346
9.4049,0.9714,0.556542
9.6069,0.9806,0.473832
9.8117,0.991,0.602336
10.0165,1.0007,0.53972
10.0971,0.9977,0.530841
10.3023,0.9946,0.368224
10.5037,0.983,0.342523
10.7046,0.9726,0.376636
10.9081,0.961,0.428037
11.1102,0.9488,0.365421
11.3108,0.939,0.354206
11.5142,0.9311,0.33972
11.7161,0.9219,0.254206
11.9169,0.9115,0.285514
12.1201,0.8987,0.328505
12.322,0.8902,0.32243
12.5231,0.8798,0.311215
12.7262,0.8675,0.319626
12.9282,0.862,0.234112
13.1293,0.8504,0.248598
13.3325,0.8401,0.259813
13.5342,0.8278,0.316822
13.7355,0.8174,0.257009
13.9385,0.8071,0.277103
14.1403,0.7997,0.234112
14.3419,0.7881,0.188318
14.5449,0.779,0.2
14.7466,0.7704,0.259813
14.948,0.7582,0.219626
15.1486,0.7466,0.225701
15.3527,0.7392,0.216822
15.5541,0.7289,0.151402
15.755,0.7185,0.157009
15.9586,0.7056,0.191121
16.1603,0.6989,0.208411
16.3609,0.6891,0.177103
16.5649,0.6763,0.205607
16.7665,0.6653,0.18271
16.9672,0.661,0.162617
17.1713,0.65,0.171495
17.3725,0.6372,0.208411
17.5733,0.6268,0.162617
17.7771,0.6183,0.162617
17.9788,0.6054,0.145794
18.1795,0.5993,0.108411
18.3829,0.5877,0.125701
18.5848,0.5743,0.148598
18.7857,0.5657,0.136916
18.9894,0.5566,0.128505
19.1907,0.5456,0.122897
19.3919,0.5358,0.077103
