Time (s),Voltage (V),Current (mA)
0.1028,1.015691,4.409387
0.2973,1.01125,4.424673
0.7563,1.017777,4.361723
0.8788,1.013945,4.392513
1.2886,1.009457,4.436726
1.6734,1.009492,4.442314
2.0987,1.011789,4.419413
2.4621,1.009633,4.43826
2.7703,1.009574,4.4496
3.0747,1.009375,4.446204
3.3875,1.012293,4.420673
3.7058,1.012328,4.413222
4.0225,1.011016,4.422865
4.3459,1.012293,4.409497
4.6489,1.012035,4.417824
4.9445,1.011848,4.421933
5.2533,1.012129,4.427138
5.5546,1.009645,4.445382
5.8553,1.010195,4.449655
6.1679,1.012398,4.397608
6.4781,1.00934,4.455353
6.7872,1.009164,4.450696
7.1019,1.009387,4.444505
7.448,1.009832,4.43574
7.7618,1.009691,4.447628
8.0831,1.009891,4.447573
8.4025,1.009902,4.447135
8.6985,1.009516,4.448231
8.9926,1.010008,4.443355
9.2853,1.009305,4.444834
9.5815,1.008672,4.44982
9.8843,1.008836,4.449162
10.1869,1.009621,4.442533
10.4883,1.009914,4.444341
10.7927,1.012633,4.419578
11.0942,1.012738,4.416893
11.3975,1.013523,4.419304
11.7029,1.011965,4.421933
12.0112,1.011766,4.420509
12.3212,1.012176,4.420783
12.6323,1.012867,4.419523
12.9427,1.009164,4.449929
13.2505,1.009316,4.448231
13.5607,1.00934,4.447902
13.8756,1.009469,4.442423
14.1952,1.011133,4.434918
14.5092,1.009691,4.441821
14.8254,1.009492,4.455627
15.1376,1.008754,4.451463
15.4525,1.010418,4.443081
15.7738,1.009469,4.447135
16.0957,1.00968,4.445108
16.4183,1.008965,4.446971
16.7427,1.008637,4.453052
17.0671,1.009234,4.451354
17.3929,1.007652,4.471844
17.7434,1.009293,4.446478
18.0583,1.008977,4.458257
18.3891,1.00982,4.443684
18.7095,1.010711,4.431247
19.0276,1.009164,4.451299
19.3475,1.012715,4.410812
19.6735,1.010219,4.443574
19.9989,1.008707,4.447245
20.3228,1.009691,4.444341
20.6473,1.009223,4.447464
20.9456,1.009984,4.444396
21.2431,1.01009,4.437
21.55,1.009281,4.448943
21.8469,1.009562,4.449929
22.1428,1.009797,4.449162
22.4393,1.01023,4.449326
22.7692,1.00948,4.450148
23.0625,1.010559,4.451354
23.3594,1.009832,4.449655
23.6562,1.009223,4.445437
23.9523,1.010031,4.452997
24.2561,1.009492,4.444122
24.5577,1.010371,4.447299
24.8582,1.00948,4.442259
25.1587,1.010441,4.439794
25.4729,1.010277,4.446313
25.7746,1.010137,4.439191
26.0844,1.009117,4.442862
26.3874,1.009668,4.44078
26.6934,1.009398,4.448176
26.9959,1.009539,4.445875
27.3056,1.012539,4.424782
27.6387,1.010805,4.440232
27.9617,1.010594,4.43552
28.2678,1.008859,4.448833
28.5761,1.01016,4.443957
28.8767,1.009797,4.44341
29.1873,1.009633,4.445053
29.4953,1.00948,4.442095
29.801,1.009879,4.447519
30.1117,1.009797,4.450751
30.4229,1.009586,4.442862
30.7301,1.008977,4.448505
31.04,1.009797,4.443957
31.3539,1.013629,4.391801
31.6609,1.009832,4.441218
31.9898,1.00982,4.443684
32.3063,1.016172,4.394869
32.6157,1.010113,4.440616
32.9594,1.009961,4.438862
33.2793,1.01452,4.397444
33.6121,1.012691,4.414976
33.9407,1.012949,4.417551
34.2632,1.015785,4.374379
34.5946,1.012762,4.404402
34.9244,1.012902,4.413058
35.2418,1.013066,4.402484
35.5598,1.009762,4.444779
35.8811,1.01002,4.447135
36.2048,1.010957,4.429439
36.5223,1.009996,4.441876
36.8425,1.009504,4.443519
37.1555,1.012691,4.418208
37.4723,1.012328,4.41629
37.7889,1.012,4.422591
38.2751,1.012516,4.421769
38.5983,1.01282,4.417331
38.9239,1.012855,4.411031
39.2433,1.009914,4.444231
39.5651,1.009621,4.44845
39.8881,1.010605,4.432233
40.2104,1.010512,4.442862
40.5389,1.011508,4.436287
40.8709,1.010219,4.444724
41.1941,1.010594,4.441437
41.5003,1.011777,4.432836
41.7972,1.01043,4.451244
42.0933,1.009152,4.452285
42.3922,1.010535,4.435027
42.6885,1.009457,4.450039
42.987,1.009527,4.441602
43.284,1.010898,4.440177
43.5776,1.009609,4.445546
43.8785,1.009094,4.4496
44.1772,1.009199,4.448231
44.474,1.010008,4.448176
44.7718,1.009949,4.445437
45.0683,1.009094,4.455189
45.3638,1.010195,4.442917
45.6605,1.008848,4.451244
45.9579,1.00948,4.450148
46.2538,1.009973,4.453052
46.5534,1.009914,4.444998
46.8489,1.008918,4.44341
