Time (s),Voltage (V),Current (A)
202.1441,-0.0635,-0.348420556
202.3452,-0.0764,-0.388967468
202.5458,-0.0861,-0.440829797
202.7469,-0.0941,-0.475247525
202.9478,-0.1063,-0.527109854
203.1497,-0.1167,-0.573314474
203.35,-0.124,-0.61338991
203.551,-0.1356,-0.671381424
203.7519,-0.1448,-0.717114569
203.9533,-0.157,-0.75766148
204.1536,-0.1668,-0.806694955
204.3553,-0.1766,-0.85572843
204.5563,-0.1863,-0.892975012
204.7569,-0.1973,-0.944837341
204.9585,-0.2065,-0.99669967
205.1592,-0.2157,-1.031117397
205.3599,-0.2248,-1.088637435
205.5606,-0.234,-1.129184347
205.761,-0.245,-1.175388967
205.9629,-0.2548,-1.224422442
206.1643,-0.2639,-1.272984441
206.3652,-0.2731,-1.313531353
206.5652,-0.2829,-1.359735974
206.7674,-0.2957,-1.396982555
206.9681,-0.3043,-1.437529467
207.1683,-0.3134,-1.483262612
207.3705,-0.3226,-1.535124941
207.571,-0.3354,-1.578500707
207.7722,-0.3458,-1.630363036
207.9726,-0.3543,-1.670438472
208.1743,-0.3672,-1.713814239
208.3749,-0.3763,-1.765676568
208.5763,-0.3873,-1.809052334
208.7766,-0.3953,-1.840641207
208.9783,-0.4038,-1.898161245
209.1784,-0.4154,-1.941537011
209.38,-0.4252,-1.984441301
209.5813,-0.435,-2.033474776
209.7819,-0.4411,-2.074021688
209.983,-0.4539,-2.140028289
210.184,-0.4643,-2.172088637
210.3848,-0.4717,-2.223950967
210.5863,-0.4826,-2.269684111
210.787,-0.4918,-2.310231023
210.9879,-0.5016,-2.376237624
211.1892,-0.5126,-2.413955681
211.3893,-0.5236,-2.454031117
211.5915,-0.5321,-2.482791136
211.7924,-0.5431,-2.543611504
211.9927,-0.5529,-2.586515794
212.1933,-0.5627,-2.627062706
212.3953,-0.5725,-2.676096181
212.5963,-0.5841,-2.713342763
212.7972,-0.5914,-2.762376238
212.9983,-0.6012,-2.805752004
213.1989,-0.6109,-2.851485149
213.4004,-0.6207,-2.894860915
213.6009,-0.6336,-2.949552098
213.8021,-0.6421,-3.001414427
214.0031,-0.6537,-3.047619048
214.2044,-0.6623,-3.084865629
214.4054,-0.6739,-3.13107025
214.6059,-0.6818,-3.197548326
214.8075,-0.6928,-3.240452617
215.008,-0.7014,-3.278170674
215.2088,-0.7118,-3.330033003
215.4103,-0.7234,-3.378595002
215.611,-0.7331,-3.41631306
215.8121,-0.7411,-3.468175389
216.0131,-0.7502,-3.502593116
216.2148,-0.7619,-3.5572843
216.4152,-0.7722,-3.592173503
216.6155,-0.782,-3.637906648
216.8172,-0.793,-3.675624705
217.0183,-0.8016,-3.735973597
217.2193,-0.8126,-3.773220179
217.4202,-0.8211,-3.8194248
217.6214,-0.8321,-3.879773692
217.8226,-0.8425,-3.914662895
218.0236,-0.8517,-3.960867515
218.2246,-0.8608,-4.003771806
218.4251,-0.8718,-4.055634135
218.6249,-0.8804,-4.096181047
218.8273,-0.8895,-4.15087223
219.0286,-0.9011,-4.190947666
219.2296,-0.9115,-4.239981141
219.435,-0.9201,-4.286185761
219.6312,-0.9329,-4.343705799
219.8322,-0.9409,-4.387081565
220.0325,-0.9506,-4.418670438
220.2348,-0.9598,-4.476190476
220.4351,-0.9745,-4.533710514
220.4765,-0.983,-4.574257426
220.6809,-0.9922,-4.623290901
220.8831,-0.9934,-4.611504008
221.0846,-0.9836,-4.562470533
221.2867,-0.9726,-4.519566242
221.4885,-0.9641,-4.464875059
221.6909,-0.9531,-4.424328147
221.8925,-0.9421,-4.375294672
222.0945,-0.9317,-4.329561528
222.2966,-0.9183,-4.280528053
222.4991,-0.9115,-4.237152287
222.7011,-0.9005,-4.202734559
222.9031,-0.8914,-4.145214521
223.1044,-0.8816,-4.101838755
223.3068,-0.8724,-4.052805281
223.509,-0.8596,-4.000942951
223.7106,-0.8504,-3.954738331
223.9132,-0.8425,-3.923149458
224.1153,-0.8321,-3.874115983
224.3169,-0.8211,-3.822253654
224.5186,-0.8101,-3.785007072
224.7206,-0.8003,-3.733144743
224.9232,-0.7912,-3.684111268
225.1242,-0.7802,-3.629420085
225.327,-0.7698,-3.600660066
225.5294,-0.7619,-3.554455446
225.7313,-0.7502,-3.499764262
225.9331,-0.7405,-3.447901933
226.1353,-0.7295,-3.41631306
226.3372,-0.7221,-3.358793022
226.5394,-0.7075,-3.315417256
226.7415,-0.6995,-3.278170674
226.9431,-0.691,-3.234794908
227.1447,-0.6824,-3.191419142
227.3474,-0.6696,-3.13107025
227.5494,-0.6586,-3.079207921
227.7519,-0.6513,-3.041961339
227.9533,-0.6409,-2.981140971
228.1552,-0.6311,-2.941065535
228.3573,-0.6213,-2.894860915
228.5594,-0.6091,-2.84582744
228.7608,-0.5993,-2.805752004
228.9635,-0.5883,-2.762376238
229.1658,-0.5786,-2.716171617
229.368,-0.5712,-2.667138142
229.57,-0.5615,-2.618576143
229.7717,-0.5517,-2.580858086
229.9731,-0.5437,-2.528995757
230.1754,-0.5315,-2.477133428
230.3774,-0.5211,-2.428099953
230.5799,-0.5089,-2.388024517
230.7816,-0.5004,-2.344648751
230.983,-0.4906,-2.307402169
231.1859,-0.4778,-2.261197548
231.3862,-0.4698,-2.206506365
231.5898,-0.4607,-2.160301744
231.792,-0.4503,-2.108439415
231.9933,-0.4399,-2.076850542
232.196,-0.4313,-2.024988213
232.3973,-0.4203,-1.978783593
232.5998,-0.4118,-1.929750118
232.8018,-0.402,-1.886845827
233.0039,-0.3916,-1.846298916
233.206,-0.3818,-1.794436587
233.4062,-0.3715,-1.748231966
233.6102,-0.3598,-1.705327676
233.8122,-0.3525,-1.664780764
234.0134,-0.3409,-1.607260726
234.2157,-0.333,-1.561056106
234.4178,-0.322,-1.518151815
234.6202,-0.3116,-1.46911834
234.8219,-0.3036,-1.417256011
235.024,-0.2908,-1.379537954
235.2262,-0.2804,-1.342291372
235.4276,-0.27,-1.290429043
235.6304,-0.2621,-1.250353607
235.8323,-0.2542,-1.201320132
236.0342,-0.2438,-1.152286657
236.2359,-0.2322,-1.111739745
236.4378,-0.223,-1.054219708
236.6401,-0.2138,-1.016973126
236.8425,-0.2016,-0.965110797
237.0426,-0.1931,-0.921735031
237.2461,-0.1815,-0.87553041
237.4485,-0.1711,-0.829797265
237.6502,-0.1588,-0.777934936
237.8519,-0.1515,-0.740216879
238.0543,-0.1411,-0.700141443
238.2565,-0.132,-0.645450259
238.4582,-0.1216,-0.596416785
238.6602,-0.1136,-0.553041018
238.8619,-0.1033,-0.506836398
239.0641,-0.0916,-0.457802923
239.2667,-0.0813,-0.414898633
239.4687,-0.069,-0.365865158
239.6706,-0.0593,-0.322489392
239.8725,-0.0501,-0.276756247
240.0747,-0.0391,-0.224893918
240.2767,-0.0293,-0.178689298
240.4785,-0.0189,-0.132484677
