Time (s),Voltage (V),Current (mA)
0.1077,0.960449,4.915066
0.2981,0.957391,4.94858
0.7745,0.962453,4.882977
0.9153,0.965113,4.866384
1.3114,0.957508,4.951044
1.7031,0.957098,4.949566
2.163,0.958398,4.954768
2.4637,0.957355,4.949401
2.7741,0.956207,4.944637
3.0844,0.957895,4.947156
3.4013,0.956312,4.954384
3.726,0.95684,4.955206
4.0507,0.956172,4.952796
4.3859,0.956289,4.956794
4.6874,0.956922,4.953618
4.9995,0.957555,4.946061
5.3147,0.958926,4.926183
5.627,0.957566,4.95088
5.9366,0.958691,4.941461
6.2541,0.960074,4.910138
6.588,0.958082,4.939599
6.9043,0.957297,4.940913
7.2307,0.956957,4.946718
7.554,0.957145,4.955206
7.8756,0.956676,4.951537
8.2064,0.956852,4.951592
8.5434,0.956875,4.94294
8.8481,0.957508,4.947101
9.1524,0.956992,4.944199
9.4571,0.957027,4.950168
9.7642,0.959148,4.924047
10.0753,0.958809,4.926949
10.3864,0.959266,4.924102
10.6962,0.959453,4.929085
11.0074,0.959336,4.923938
11.319,0.959711,4.920159
11.6289,0.958832,4.929414
11.9447,0.956699,4.95652
12.2899,0.959852,4.921747
12.6095,0.956547,4.95077
12.9261,0.95732,4.95088
13.2416,0.957766,4.944473
13.5604,0.956559,4.952304
13.8833,0.959852,4.919721
14.209,0.956676,4.957889
14.5311,0.956734,4.952085
14.8563,0.957004,4.949511
15.1752,0.956102,4.954275
15.4996,0.957543,4.948799
15.8295,0.957074,4.949018
16.156,0.956207,4.953673
16.4874,0.956594,4.955973
16.8107,0.95793,4.938504
17.1373,0.956113,4.955589
17.4702,0.957883,4.952687
17.7957,0.956605,4.951592
18.1185,0.957648,4.955863
18.4425,0.957355,4.947978
18.7635,0.958117,4.949237
19.0909,0.956781,4.948032
19.4245,0.959852,4.915066
19.756,0.959793,4.920816
20.0851,0.959641,4.927004
20.4226,0.960719,4.909043
20.7552,0.959477,4.921528
21.0627,0.958902,4.929195
21.3659,0.957098,4.959477
21.6695,0.956348,4.953508
21.9716,0.957004,4.950277
22.2893,0.955211,4.977274
22.6186,0.958527,4.941078
22.919,0.956793,4.952468
23.2216,0.95718,4.951701
23.5268,0.957355,4.955261
23.8277,0.956711,4.953782
24.1378,0.956594,4.956356
24.4473,0.95616,4.957342
24.7575,0.956266,4.954384
25.0703,0.957812,4.951646
25.3811,0.956969,4.940859
25.6961,0.957555,4.950496
26.01,0.957051,4.943049
26.3336,0.958645,4.913314
26.6504,0.957238,4.942994
26.9693,0.956746,4.945568
27.2855,0.956887,4.945897
27.6237,0.956465,4.947594
27.9351,0.956453,4.946937
28.2454,0.957215,4.947485
28.5555,0.956652,4.948416
28.8704,0.956406,4.954604
29.1882,0.957367,4.94502
29.5115,0.956148,4.952139
29.8291,0.957121,4.954384
30.146,0.95691,4.952468
30.4644,0.957203,4.949456
30.7822,0.957449,4.945075
31.0991,0.956184,4.95318
31.4211,0.95684,4.952577
31.7386,0.957285,4.947649
32.0717,0.958457,4.941187
32.3882,0.95684,4.943049
32.7353,0.957437,4.954439
33.0588,0.958715,4.930454
33.3784,0.956969,4.954494
33.7004,0.956535,4.942447
34.0245,0.956852,4.952085
34.3494,0.956594,4.945349
34.6715,0.957168,4.955151
35.0016,0.959676,4.922185
35.3266,0.957578,4.94053
35.6513,0.956664,4.95192
35.9746,0.957449,4.947594
36.2984,0.956324,4.952961
36.6206,0.95718,4.942173
36.9439,0.956687,4.952249
37.2664,0.956266,4.943761
37.5889,0.956582,4.954001
37.9364,0.958176,4.946882
38.2596,0.956594,4.954111
38.7277,0.956266,4.955315
39.0683,0.957437,4.945075
39.3991,0.957766,4.952796
39.7468,0.95868,4.923883
40.0753,0.959828,4.926949
40.4032,0.961117,4.914574
40.7519,0.959441,4.919831
41.0855,0.959512,4.924978
41.3902,0.959301,4.924157
41.696,0.959395,4.932699
41.9985,0.957367,4.943378
42.2997,0.956711,4.942994
42.6151,0.956676,4.950935
42.9184,0.957109,4.954275
43.2234,0.956816,4.94858
43.5261,0.958328,4.95318
43.8296,0.95984,4.926676
44.1326,0.958961,4.928428
44.4377,0.959125,4.922514
44.7424,0.959477,4.925745
45.0484,0.959336,4.926347
45.3522,0.959547,4.927004
45.6573,0.957297,4.942885
45.9614,0.957004,4.955042
46.2677,0.957121,4.951318
46.577,0.958562,4.934068
46.8834,0.957039,4.948525
47.1894,0.956863,4.950277
47.4964,0.957004,4.951099
47.8025,0.956594,4.955206
